# Krause - Lac Onatchiway 5 and 7 - PCMA - ITRDB CANA143
#-----------------------------------------------------------------------
#               World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#-----------------------------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication,  NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using these data.
# If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3754
#   Landing_Page_Description: NOAA Landing Page of study
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/cana143-crn-noaa.txt
#   Study_Level_JSON_Description: Raw Measurements - NOAA Template File
#
# Data_Type: Tree Ring
#
# Dataset_DOI: 
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: /pub/data/paleo/treering/chronologies/northamerica/canada/cana143-crn-noaa.txt
#   Data_Download_Description: Chronology - NOAA Template File
#
#--------------------
#
# Archive: Tree Ring
#
# Dataset_DOI: 
#
# Science_Keywords: 
#--------------------
# Contribution_Date
# Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
# Date: 2023-11-17
#--------------------
# Title
#   Study_Name: Krause - Lac Onatchiway 5 and 7 - PCMA - ITRDB CANA143
#--------------------
# Investigators: Krause, C.; Morin, H.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-14.; NOAA Template Chronology file added 2023-11-17.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Site_Information
#   Site_Name:  Lac Onatchiway 5 and 7
#   Location: Quebec
#   Northernmost_Latitude: 48.88
#   Southernmost_Latitude: 48.88
#   Easternmost_Longitude: -71.02
#   Westernmost_Longitude: -71.02
#   Elevation: 305
#--------------------
# Data_Collection
#   Collection_Name:  CANA143
#   Earliest_Year: 1841
#   Most_Recent_Year: 1993
#   Time_Unit: CE
#   Parameter_Keywords: ring width
#   Notes: 
#--------------------
# Species
#
# Tree_Species_Download_Resource:  https://www.ncei.noaa.gov/pub/data/paleo/templates/tree-species-code.csv
#   Tree_Species_Download_Description:  List of accepted tree species names and codes.
#
# Species_Name: Picea mariana (Mill.) Britton, Sterns, & Poggenb.
# Common_Name: black spruce
# Tree_Species_Code: PCMA
#--------------------
# Chronology_Information 
#   Chronology: 
#----------------------
# Variables 
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/PaST-thesaurus/SKOS/past-thesaurus-v1.0.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
#  variables format: shortname <tab> var components: what,material,error,units,seasonality,archive,detail,method, C or N for Char or Numeric data,additional information
## age_CE	age,,,year Common Era,,tree ring,,,N,
## trsgi	tree ring standardized growth index,,,,,tree ring,composited,standard chronology method,N,
## numsamp	number of samples,,,count,,tree ring,,,N,
#
#---------------------
# Data:
# Missing_Values: -999
age_CE	trsgi	numsamp
1841	2120	-999
1842	1930	-999
1843	1700	-999
1844	1680	-999
1845	1490	-999
1846	1400	-999
1847	1330	-999
1848	1160	-999
1849	1220	-999
1850	1180	-999
1851	1170	-999
1852	 960	-999
1853	 940	-999
1854	 980	-999
1855	 890	-999
1856	 880	-999
1857	 880	-999
1858	 820	-999
1859	 800	-999
1860	 820	-999
1861	 700	-999
1862	2210	-999
1863	 950	-999
1864	1130	-999
1865	 880	-999
1866	 860	-999
1867	 960	-999
1868	 820	-999
1869	 760	-999
1870	 670	-999
1871	 690	-999
1872	 760	-999
1873	 730	-999
1874	 750	-999
1875	 730	-999
1876	 680	-999
1877	 670	-999
1878	 640	-999
1879	 650	-999
1880	 760	-999
1881	 790	-999
1882	 700	-999
1883	 730	-999
1884	 630	-999
1885	 580	-999
1886	 630	-999
1887	 490	-999
1888	 610	-999
1889	 590	-999
1890	 590	-999
1891	 680	-999
1892	 860	-999
1893	1010	-999
1894	1190	-999
1895	1450	-999
1896	1400	-999
1897	1230	-999
1898	1110	-999
1899	1240	-999
1900	1270	-999
1901	1170	-999
1902	1170	-999
1903	 710	-999
1904	 750	-999
1905	 790	-999
1906	 700	-999
1907	 760	-999
1908	 850	-999
1909	 840	-999
1910	 910	-999
1911	 850	-999
1912	 600	-999
1913	 650	-999
1914	 600	-999
1915	 800	-999
1916	 860	-999
1917	1050	-999
1918	 940	-999
1919	1170	-999
1920	1150	-999
1921	1080	-999
1922	1320	-999
1923	1100	-999
1924	1380	-999
1925	1320	-999
1926	1300	-999
1927	1270	-999
1928	1210	-999
1929	1240	-999
1930	1470	-999
1931	1500	-999
1932	1340	-999
1933	1270	-999
1934	1150	-999
1935	1260	-999
1936	1080	-999
1937	1130	-999
1938	 980	-999
1939	1060	-999
1940	1010	-999
1941	 990	-999
1942	1070	-999
1943	 970	-999
1944	 980	-999
1945	1080	-999
1946	1130	-999
1947	1000	-999
1948	1090	-999
1949	 960	-999
1950	1040	-999
1951	 890	-999
1952	 630	-999
1953	 780	-999
1954	 880	-999
1955	 930	-999
1956	 970	-999
1957	1020	-999
1958	 900	-999
1959	 850	-999
1960	 950	-999
1961	1120	-999
1962	 920	-999
1963	 900	-999
1964	 900	-999
1965	 860	-999
1966	 890	-999
1967	 810	-999
1968	 820	-999
1969	 890	-999
1970	 840	-999
1971	 900	-999
1972	 950	-999
1973	1000	-999
1974	 950	-999
1975	1110	-999
1976	 910	-999
1977	 680	-999
1978	 580	-999
1979	 770	-999
1980	1110	-999
1981	1150	-999
1982	1200	-999
1983	1100	-999
1984	 850	-999
1985	 780	-999
1986	 850	-999
1987	1100	-999
1988	1270	-999
1989	1280	-999
1990	1350	-999
1991	1270	-999
1992	1470	-999
1993	1700	-999
